parcel_id,farmer_name,season,year,NDVI,EVI,SAVI,NDWI,Red,Green,Blue,NIR,SWIR1,SWIR2,cloud_cover_percent,image_source
AP_ANP_00034_C1,Narasimha Rao,Summer,2025,0.29,0.472,0.535,-0.005,0.211,0.068,0.264,0.373,0.115,0.405,19.11,
AP_ANP_00034_C2,Ravi Teja,Summer,2025,0.29,0.472,0.535,-0.005,0.211,0.068,0.264,0.373,0.115,0.405,19.11,
AP_ANP_00034_C3,Bhavani S,Summer,2025,0.29,0.472,0.535,-0.005,0.211,0.068,0.264,0.373,0.115,0.405,19.11,
AP_ANP_00035_C1,Anuradha V,Kharif,2025,0.852,0.543,0.508,0.302,0.049,0.202,0.118,0.369,0.412,0.248,1.62,
AP_ANP_00035_C2,Narasimha Rao,Kharif,2025,0.852,0.543,0.508,0.302,0.049,0.202,0.118,0.369,0.412,0.248,1.62,
AP_ANP_00035_C3,Ravi Teja,Kharif,2025,0.852,0.543,0.508,0.302,0.049,0.202,0.118,0.369,0.412,0.248,1.62,
AP_ANP_00035_C1,Anuradha V,Rabi,2025,0.477,0.196,0.703,0.187,0.183,0.232,0.182,0.736,0.224,0.321,11.31,
AP_ANP_00035_C2,Narasimha Rao,Rabi,2025,0.477,0.196,0.703,0.187,0.183,0.232,0.182,0.736,0.224,0.321,11.31,
AP_ANP_00035_C3,Ravi Teja,Rabi,2025,0.477,0.196,0.703,0.187,0.183,0.232,0.182,0.736,0.224,0.321,11.31,
AP_ANP_00035_C1,Anuradha V,Summer,2025,0.307,0.628,0.578,0.126,0.301,0.394,0.215,0.744,0.399,0.322,12.37,
AP_ANP_00035_C2,Narasimha Rao,Summer,2025,0.307,0.628,0.578,0.126,0.301,0.394,0.215,0.744,0.399,0.322,12.37,
AP_ANP_00035_C3,Ravi Teja,Summer,2025,0.307,0.628,0.578,0.126,0.301,0.394,0.215,0.744,0.399,0.322,12.37,
AP_ANP_00036_C1,Krishna Murthy,Kharif,2025,0.813,0.679,0.717,0.14,0.03,0.377,0.047,0.418,0.422,0.114,16.36,
AP_ANP_00036_C2,Anuradha V,Kharif,2025,0.813,0.679,0.717,0.14,0.03,0.377,0.047,0.418,0.422,0.114,16.36,
AP_ANP_00036_C3,Narasimha Rao,Kharif,2025,0.813,0.679,0.717,0.14,0.03,0.377,0.047,0.418,0.422,0.114,16.36,
AP_ANP_00036_C1,Krishna Murthy,Rabi,2025,0.691,0.154,0.337,0.151,0.224,0.442,0.193,0.369,0.367,0.266,15.6,
AP_ANP_00036_C2,Anuradha V,Rabi,2025,0.691,0.154,0.337,0.151,0.224,0.442,0.193,0.369,0.367,0.266,15.6,
AP_ANP_00036_C3,Narasimha Rao,Rabi,2025,0.691,0.154,0.337,0.151,0.224,0.442,0.193,0.369,0.367,0.266,15.6,
AP_ANP_00036_C1,Krishna Murthy,Summer,2025,0.243,0.475,0.776,0.102,0.133,0.296,0.28,0.267,0.519,0.325,1.36,
AP_ANP_00036_C2,Anuradha V,Summer,2025,0.243,0.475,0.776,0.102,0.133,0.296,0.28,0.267,0.519,0.325,1.36,
AP_ANP_00036_C3,Narasimha Rao,Summer,2025,0.243,0.475,0.776,0.102,0.133,0.296,0.28,0.267,0.519,0.325,1.36,
AP_ANP_00037_C1,Padma Kumari,Kharif,2025,0.655,0.19,0.528,0.277,0.134,0.291,0.023,0.766,0.537,0.438,14.99,
AP_ANP_00037_C2,Krishna Murthy,Kharif,2025,0.655,0.19,0.528,0.277,0.134,0.291,0.023,0.766,0.537,0.438,14.99,
AP_ANP_00037_C3,Anuradha V,Kharif,2025,0.655,0.19,0.528,0.277,0.134,0.291,0.023,0.766,0.537,0.438,14.99,
AP_ANP_00037_C1,Padma Kumari,Rabi,2025,0.446,0.165,0.164,0.202,0.127,0.235,0.233,0.644,0.273,0.159,19.94,
AP_ANP_00037_C2,Krishna Murthy,Rabi,2025,0.446,0.165,0.164,0.202,0.127,0.235,0.233,0.644,0.273,0.159,19.94,
AP_ANP_00037_C3,Anuradha V,Rabi,2025,0.446,0.165,0.164,0.202,0.127,0.235,0.233,0.644,0.273,0.159,19.94,
AP_ANP_00037_C1,Padma Kumari,Summer,2025,0.37,0.248,0.667,0.04,0.249,0.123,0.034,0.642,0.377,0.159,19.02,
AP_ANP_00037_C2,Krishna Murthy,Summer,2025,0.37,0.248,0.667,0.04,0.249,0.123,0.034,0.642,0.377,0.159,19.02,
AP_ANP_00037_C3,Anuradha V,Summer,2025,0.37,0.248,0.667,0.04,0.249,0.123,0.034,0.642,0.377,0.159,19.02,
AP_ANP_00038_C1,Srinivas Reddy,Kharif,2025,0.603,0.716,0.423,0.208,0.231,0.197,0.09,0.84,0.255,0.408,4.6,
AP_ANP_00038_C2,Padma Kumari,Kharif,2025,0.603,0.716,0.423,0.208,0.231,0.197,0.09,0.84,0.255,0.408,4.6,
AP_ANP_00038_C3,Krishna Murthy,Kharif,2025,0.603,0.716,0.423,0.208,0.231,0.197,0.09,0.84,0.255,0.408,4.6,
AP_ANP_00038_C1,Srinivas Reddy,Rabi,2025,0.475,0.541,0.39,0.056,0.305,0.229,0.291,0.321,0.484,0.361,15.42,
AP_ANP_00038_C2,Padma Kumari,Rabi,2025,0.475,0.541,0.39,0.056,0.305,0.229,0.291,0.321,0.484,0.361,15.42,
AP_ANP_00038_C3,Krishna Murthy,Rabi,2025,0.475,0.541,0.39,0.056,0.305,0.229,0.291,0.321,0.484,0.361,15.42,
AP_ANP_00038_C1,Srinivas Reddy,Summer,2025,0.538,0.526,0.235,0.102,0.031,0.417,0.189,0.718,0.291,0.097,2.5,
AP_ANP_00038_C2,Padma Kumari,Summer,2025,0.538,0.526,0.235,0.102,0.031,0.417,0.189,0.718,0.291,0.097,2.5,
AP_ANP_00038_C3,Krishna Murthy,Summer,2025,0.538,0.526,0.235,0.102,0.031,0.417,0.189,0.718,0.291,0.097,2.5,
AP_ANP_00039_C1,Venkatesh Rao,Kharif,2025,0.79,0.27,0.47,0.208,0.041,0.274,0.088,0.718,0.205,0.232,0.23,
AP_ANP_00039_C2,Srinivas Reddy,Kharif,2025,0.79,0.27,0.47,0.208,0.041,0.274,0.088,0.718,0.205,0.232,0.23,
AP_ANP_00039_C3,Padma Kumari,Kharif,2025,0.79,0.27,0.47,0.208,0.041,0.274,0.088,0.718,0.205,0.232,0.23,
AP_ANP_00039_C1,Venkatesh Rao,Rabi,2025,0.425,0.438,0.54,0.128,0.116,0.322,0.259,0.707,0.07,0.242,2.1,
AP_ANP_00039_C2,Srinivas Reddy,Rabi,2025,0.425,0.438,0.54,0.128,0.116,0.322,0.259,0.707,0.07,0.242,2.1,
AP_ANP_00039_C3,Padma Kumari,Rabi,2025,0.425,0.438,0.54,0.128,0.116,0.322,0.259,0.707,0.07,0.242,2.1,
AP_ANP_00039_C1,Venkatesh Rao,Summer,2025,0.297,0.235,0.474,0.147,0.224,0.325,0.172,0.206,0.213,0.257,1.76,
AP_ANP_00039_C2,Srinivas Reddy,Summer,2025,0.297,0.235,0.474,0.147,0.224,0.325,0.172,0.206,0.213,0.257,1.76,
AP_ANP_00039_C3,Padma Kumari,Summer,2025,0.297,0.235,0.474,0.147,0.224,0.325,0.172,0.206,0.213,0.257,1.76,
AP_ANP_00040_C1,Nagarjuna Reddy,Kharif,2025,0.673,0.197,0.408,0.108,0.064,0.268,0.21,0.72,0.15,0.117,2.09,
AP_ANP_00040_C2,Vijayalakshmi,Kharif,2025,0.673,0.197,0.408,0.108,0.064,0.268,0.21,0.72,0.15,0.117,2.09,
AP_ANP_00040_C3,Subba Rao,Kharif,2025,0.673,0.197,0.408,0.108,0.064,0.268,0.21,0.72,0.15,0.117,2.09,
AP_ANP_00040_C1,Nagarjuna Reddy,Rabi,2025,0.623,0.169,0.759,0.191,0.037,0.257,0.216,0.766,0.407,0.371,6.79,
AP_ANP_00040_C2,Vijayalakshmi,Rabi,2025,0.623,0.169,0.759,0.191,0.037,0.257,0.216,0.766,0.407,0.371,6.79,
AP_ANP_00040_C3,Subba Rao,Rabi,2025,0.623,0.169,0.759,0.191,0.037,0.257,0.216,0.766,0.407,0.371,6.79,
AP_ANP_00040_C1,Nagarjuna Reddy,Summer,2025,0.526,0.687,0.506,-0.034,0.29,0.22,0.197,0.542,0.416,0.083,1.21,
AP_ANP_00040_C2,Vijayalakshmi,Summer,2025,0.526,0.687,0.506,-0.034,0.29,0.22,0.197,0.542,0.416,0.083,1.21,
AP_ANP_00040_C3,Subba Rao,Summer,2025,0.526,0.687,0.506,-0.034,0.29,0.22,0.197,0.542,0.416,0.083,1.21,
AP_ANP_00041_C1,Venkat Ramaiah,Kharif,2025,0.636,0.673,0.292,0.14,0.342,0.171,0.063,0.713,0.379,0.249,11.11,
AP_ANP_00041_C2,Nagarjuna Reddy,Kharif,2025,0.636,0.673,0.292,0.14,0.342,0.171,0.063,0.713,0.379,0.249,11.11,
AP_ANP_00041_C3,Vijayalakshmi,Kharif,2025,0.636,0.673,0.292,0.14,0.342,0.171,0.063,0.713,0.379,0.249,11.11,
AP_ANP_00041_C1,Venkat Ramaiah,Rabi,2025,0.652,0.748,0.784,0.096,0.235,0.114,0.207,0.247,0.065,0.153,9.25,
AP_ANP_00041_C2,Nagarjuna Reddy,Rabi,2025,0.652,0.748,0.784,0.096,0.235,0.114,0.207,0.247,0.065,0.153,9.25,
AP_ANP_00041_C3,Vijayalakshmi,Rabi,2025,0.652,0.748,0.784,0.096,0.235,0.114,0.207,0.247,0.065,0.153,9.25,
AP_ANP_00041_C1,Venkat Ramaiah,Summer,2025,0.547,0.596,0.427,0.095,0.134,0.186,0.296,0.226,0.484,0.281,8.77,
AP_ANP_00041_C2,Nagarjuna Reddy,Summer,2025,0.547,0.596,0.427,0.095,0.134,0.186,0.296,0.226,0.484,0.281,8.77,
AP_ANP_00041_C3,Vijayalakshmi,Summer,2025,0.547,0.596,0.427,0.095,0.134,0.186,0.296,0.226,0.484,0.281,8.77,
AP_ANP_00042_C1,Gopal Reddy,Kharif,2025,0.804,0.674,0.735,0.222,0.159,0.146,0.182,0.793,0.155,0.299,12.63,
AP_ANP_00042_C2,Venkat Ramaiah,Kharif,2025,0.804,0.674,0.735,0.222,0.159,0.146,0.182,0.793,0.155,0.299,12.63,
AP_ANP_00042_C3,Nagarjuna Reddy,Kharif,2025,0.804,0.674,0.735,0.222,0.159,0.146,0.182,0.793,0.155,0.299,12.63,
AP_ANP_00042_C1,Gopal Reddy,Rabi,2025,0.657,0.579,0.741,0.076,0.079,0.13,0.292,0.318,0.477,0.247,4.94,
AP_ANP_00042_C2,Venkat Ramaiah,Rabi,2025,0.657,0.579,0.741,0.076,0.079,0.13,0.292,0.318,0.477,0.247,4.94,
AP_ANP_00042_C3,Nagarjuna Reddy,Rabi,2025,0.657,0.579,0.741,0.076,0.079,0.13,0.292,0.318,0.477,0.247,4.94,
AP_ANP_00042_C1,Gopal Reddy,Summer,2025,0.548,0.459,0.384,0.039,0.216,0.099,0.123,0.83,0.179,0.313,6.5,
AP_ANP_00042_C2,Venkat Ramaiah,Summer,2025,0.548,0.459,0.384,0.039,0.216,0.099,0.123,0.83,0.179,0.313,6.5,
AP_ANP_00042_C3,Nagarjuna Reddy,Summer,2025,0.548,0.459,0.384,0.039,0.216,0.099,0.123,0.83,0.179,0.313,6.5,
AP_ANP_00043_C1,Bhavani S,Kharif,2025,0.821,0.732,0.445,0.133,0.098,0.061,0.059,0.538,0.219,0.382,8.62,
AP_ANP_00043_C2,Gopal Reddy,Kharif,2025,0.821,0.732,0.445,0.133,0.098,0.061,0.059,0.538,0.219,0.382,8.62,
AP_ANP_00043_C3,Venkat Ramaiah,Kharif,2025,0.821,0.732,0.445,0.133,0.098,0.061,0.059,0.538,0.219,0.382,8.62,
AP_ANP_00043_C1,Bhavani S,Rabi,2025,0.487,0.574,0.259,0.173,0.075,0.045,0.224,0.631,0.287,0.388,16.11,
AP_ANP_00043_C2,Gopal Reddy,Rabi,2025,0.487,0.574,0.259,0.173,0.075,0.045,0.224,0.631,0.287,0.388,16.11,
AP_ANP_00043_C3,Venkat Ramaiah,Rabi,2025,0.487,0.574,0.259,0.173,0.075,0.045,0.224,0.631,0.287,0.388,16.11,
AP_ANP_00043_C1,Bhavani S,Summer,2025,0.434,0.274,0.223,0.124,0.109,0.054,0.164,0.809,0.07,0.099,9.04,
AP_ANP_00043_C2,Gopal Reddy,Summer,2025,0.434,0.274,0.223,0.124,0.109,0.054,0.164,0.809,0.07,0.099,9.04,
AP_ANP_00043_C3,Venkat Ramaiah,Summer,2025,0.434,0.274,0.223,0.124,0.109,0.054,0.164,0.809,0.07,0.099,9.04,
AP_ANP_00044_C1,Ravi Teja,Kharif,2025,0.877,0.454,0.177,0.179,0.069,0.444,0.29,0.203,0.526,0.306,17.36,
AP_ANP_00044_C2,Bhavani S,Kharif,2025,0.877,0.454,0.177,0.179,0.069,0.444,0.29,0.203,0.526,0.306,17.36,
AP_ANP_00044_C3,Gopal Reddy,Kharif,2025,0.877,0.454,0.177,0.179,0.069,0.444,0.29,0.203,0.526,0.306,17.36,
AP_ANP_00044_C1,Ravi Teja,Rabi,2025,0.559,0.443,0.583,0.153,0.066,0.043,0.099,0.658,0.151,0.319,19.4,
AP_ANP_00044_C2,Bhavani S,Rabi,2025,0.559,0.443,0.583,0.153,0.066,0.043,0.099,0.658,0.151,0.319,19.4,
AP_ANP_00044_C3,Gopal Reddy,Rabi,2025,0.559,0.443,0.583,0.153,0.066,0.043,0.099,0.658,0.151,0.319,19.4,
AP_ANP_00044_C1,Ravi Teja,Summer,2025,0.238,0.416,0.714,0.085,0.078,0.321,0.253,0.814,0.392,0.249,12.36,
AP_ANP_00044_C2,Bhavani S,Summer,2025,0.238,0.416,0.714,0.085,0.078,0.321,0.253,0.814,0.392,0.249,12.36,
AP_ANP_00044_C3,Gopal Reddy,Summer,2025,0.238,0.416,0.714,0.085,0.078,0.321,0.253,0.814,0.392,0.249,12.36,
AP_ANP_00045_C1,Narasimha Rao,Kharif,2025,0.854,0.168,0.755,0.243,0.248,0.314,0.073,0.628,0.247,0.31,2.13,
AP_ANP_00045_C2,Ravi Teja,Kharif,2025,0.854,0.168,0.755,0.243,0.248,0.314,0.073,0.628,0.247,0.31,2.13,
AP_ANP_00045_C3,Bhavani S,Kharif,2025,0.854,0.168,0.755,0.243,0.248,0.314,0.073,0.628,0.247,0.31,2.13,
AP_ANP_00045_C1,Narasimha Rao,Rabi,2025,0.63,0.179,0.785,0.25,0.154,0.396,0.237,0.569,0.419,0.401,8.08,
AP_ANP_00045_C2,Ravi Teja,Rabi,2025,0.63,0.179,0.785,0.25,0.154,0.396,0.237,0.569,0.419,0.401,8.08,
AP_ANP_00045_C3,Bhavani S,Rabi,2025,0.63,0.179,0.785,0.25,0.154,0.396,0.237,0.569,0.419,0.401,8.08,
AP_ANP_00045_C1,Narasimha Rao,Summer,2025,0.331,0.635,0.645,0.084,0.283,0.213,0.247,0.278,0.322,0.052,6.49,
AP_ANP_00045_C2,Ravi Teja,Summer,2025,0.331,0.635,0.645,0.084,0.283,0.213,0.247,0.278,0.322,0.052,6.49,
AP_ANP_00045_C3,Bhavani S,Summer,2025,0.331,0.635,0.645,0.084,0.283,0.213,0.247,0.278,0.322,0.052,6.49,
AP_ANP_00046_C1,Anuradha V,Kharif,2025,0.678,0.567,0.403,0.199,0.168,0.13,0.118,0.348,0.087,0.291,13.36,
AP_ANP_00046_C2,Narasimha Rao,Kharif,2025,0.678,0.567,0.403,0.199,0.168,0.13,0.118,0.348,0.087,0.291,13.36,
AP_ANP_00046_C3,Ravi Teja,Kharif,2025,0.678,0.567,0.403,0.199,0.168,0.13,0.118,0.348,0.087,0.291,13.36,
AP_ANP_00046_C1,Anuradha V,Rabi,2025,0.617,0.378,0.711,0.143,0.191,0.231,0.017,0.422,0.24,0.21,11.6,
AP_ANP_00046_C2,Narasimha Rao,Rabi,2025,0.617,0.378,0.711,0.143,0.191,0.231,0.017,0.422,0.24,0.21,11.6,
AP_ANP_00046_C3,Ravi Teja,Rabi,2025,0.617,0.378,0.711,0.143,0.191,0.231,0.017,0.422,0.24,0.21,11.6,
AP_ANP_00046_C1,Anuradha V,Summer,2025,0.413,0.609,0.678,0.072,0.257,0.431,0.015,0.327,0.054,0.309,17.96,
AP_ANP_00046_C2,Narasimha Rao,Summer,2025,0.413,0.609,0.678,0.072,0.257,0.431,0.015,0.327,0.054,0.309,17.96,
AP_ANP_00046_C3,Ravi Teja,Summer,2025,0.413,0.609,0.678,0.072,0.257,0.431,0.015,0.327,0.054,0.309,17.96,
AP_ANP_00047_C1,Krishna Murthy,Kharif,2025,0.635,0.186,0.757,0.332,0.136,0.073,0.151,0.367,0.192,0.173,16.06,
AP_ANP_00047_C2,Anuradha V,Kharif,2025,0.635,0.186,0.757,0.332,0.136,0.073,0.151,0.367,0.192,0.173,16.06,
AP_ANP_00047_C3,Narasimha Rao,Kharif,2025,0.635,0.186,0.757,0.332,0.136,0.073,0.151,0.367,0.192,0.173,16.06,
AP_ANP_00047_C1,Krishna Murthy,Rabi,2025,0.589,0.516,0.615,0.112,0.11,0.204,0.045,0.318,0.391,0.123,10.5,
AP_ANP_00047_C2,Anuradha V,Rabi,2025,0.589,0.516,0.615,0.112,0.11,0.204,0.045,0.318,0.391,0.123,10.5,
AP_ANP_00047_C3,Narasimha Rao,Rabi,2025,0.589,0.516,0.615,0.112,0.11,0.204,0.045,0.318,0.391,0.123,10.5,
AP_ANP_00047_C1,Krishna Murthy,Summer,2025,0.484,0.49,0.317,-0.029,0.338,0.233,0.244,0.558,0.072,0.303,19.03,
AP_ANP_00047_C2,Anuradha V,Summer,2025,0.484,0.49,0.317,-0.029,0.338,0.233,0.244,0.558,0.072,0.303,19.03,
AP_ANP_00047_C3,Narasimha Rao,Summer,2025,0.484,0.49,0.317,-0.029,0.338,0.233,0.244,0.558,0.072,0.303,19.03,
AP_ANP_00048_C1,Padma Kumari,Kharif,2025,0.761,0.681,0.298,0.305,0.09,0.287,0.129,0.746,0.5,0.191,4.74,
AP_ANP_00048_C2,Krishna Murthy,Kharif,2025,0.761,0.681,0.298,0.305,0.09,0.287,0.129,0.746,0.5,0.191,4.74,
AP_ANP_00048_C3,Anuradha V,Kharif,2025,0.761,0.681,0.298,0.305,0.09,0.287,0.129,0.746,0.5,0.191,4.74,
AP_ANP_00048_C1,Padma Kumari,Rabi,2025,0.673,0.644,0.425,0.105,0.24,0.07,0.191,0.494,0.343,0.117,14.74,
AP_ANP_00048_C2,Krishna Murthy,Rabi,2025,0.673,0.644,0.425,0.105,0.24,0.07,0.191,0.494,0.343,0.117,14.74,
AP_ANP_00048_C3,Anuradha V,Rabi,2025,0.673,0.644,0.425,0.105,0.24,0.07,0.191,0.494,0.343,0.117,14.74,
AP_ANP_00048_C1,Padma Kumari,Summer,2025,0.545,0.207,0.165,-0.007,0.232,0.285,0.169,0.351,0.245,0.288,9.94,
AP_ANP_00048_C2,Krishna Murthy,Summer,2025,0.545,0.207,0.165,-0.007,0.232,0.285,0.169,0.351,0.245,0.288,9.94,
AP_ANP_00048_C3,Anuradha V,Summer,2025,0.545,0.207,0.165,-0.007,0.232,0.285,0.169,0.351,0.245,0.288,9.94,
AP_ANP_00049_C1,Srinivas Reddy,Kharif,2025,0.896,0.567,0.413,0.134,0.161,0.331,0.211,0.844,0.114,0.092,14.49,
AP_ANP_00049_C2,Padma Kumari,Kharif,2025,0.896,0.567,0.413,0.134,0.161,0.331,0.211,0.844,0.114,0.092,14.49,
AP_ANP_00049_C3,Krishna Murthy,Kharif,2025,0.896,0.567,0.413,0.134,0.161,0.331,0.211,0.844,0.114,0.092,14.49,
AP_ANP_00049_C1,Srinivas Reddy,Rabi,2025,0.602,0.198,0.206,0.105,0.315,0.111,0.104,0.347,0.227,0.078,10.38,
AP_ANP_00049_C2,Padma Kumari,Rabi,2025,0.602,0.198,0.206,0.105,0.315,0.111,0.104,0.347,0.227,0.078,10.38,
AP_ANP_00049_C3,Krishna Murthy,Rabi,2025,0.602,0.198,0.206,0.105,0.315,0.111,0.104,0.347,0.227,0.078,10.38,
AP_ANP_00049_C1,Srinivas Reddy,Summer,2025,0.227,0.29,0.501,0.11,0.31,0.303,0.165,0.411,0.217,0.318,19.88,
AP_ANP_00049_C2,Padma Kumari,Summer,2025,0.227,0.29,0.501,0.11,0.31,0.303,0.165,0.411,0.217,0.318,19.88,
AP_ANP_00049_C3,Krishna Murthy,Summer,2025,0.227,0.29,0.501,0.11,0.31,0.303,0.165,0.411,0.217,0.318,19.88,
AP_ANP_00050_C1,Vijayalakshmi,Kharif,2025,0.782,0.588,0.452,0.239,0.04,0.266,0.288,0.314,0.395,0.13,10.72,
AP_ANP_00050_C2,Subba Rao,Kharif,2025,0.782,0.588,0.452,0.239,0.04,0.266,0.288,0.314,0.395,0.13,10.72,
AP_ANP_00050_C3,Ramesh Kumar,Kharif,2025,0.782,0.588,0.452,0.239,0.04,0.266,0.288,0.314,0.395,0.13,10.72,
AP_ANP_00050_C1,Vijayalakshmi,Rabi,2025,0.434,0.604,0.376,0.14,0.239,0.364,0.279,0.353,0.25,0.111,19.85,
AP_ANP_00050_C2,Subba Rao,Rabi,2025,0.434,0.604,0.376,0.14,0.239,0.364,0.279,0.353,0.25,0.111,19.85,
AP_ANP_00050_C3,Ramesh Kumar,Rabi,2025,0.434,0.604,0.376,0.14,0.239,0.364,0.279,0.353,0.25,0.111,19.85,
AP_ANP_00050_C1,Vijayalakshmi,Summer,2025,0.571,0.655,0.489,0.058,0.226,0.067,0.229,0.283,0.463,0.363,14.17,
AP_ANP_00050_C2,Subba Rao,Summer,2025,0.571,0.655,0.489,0.058,0.226,0.067,0.229,0.283,0.463,0.363,14.17,
AP_ANP_00050_C3,Ramesh Kumar,Summer,2025,0.571,0.655,0.489,0.058,0.226,0.067,0.229,0.283,0.463,0.363,14.17,
AP_ANP_00051_C1,Nagarjuna Reddy,Kharif,2025,0.563,0.308,0.384,0.176,0.049,0.424,0.171,0.399,0.248,0.229,12.01,
AP_ANP_00051_C2,Vijayalakshmi,Kharif,2025,0.563,0.308,0.384,0.176,0.049,0.424,0.171,0.399,0.248,0.229,12.01,
AP_ANP_00051_C3,Subba Rao,Kharif,2025,0.563,0.308,0.384,0.176,0.049,0.424,0.171,0.399,0.248,0.229,12.01,
AP_ANP_00051_C1,Nagarjuna Reddy,Rabi,2025,0.58,0.448,0.795,0.234,0.301,0.118,0.28,0.276,0.459,0.202,17.56,
AP_ANP_00051_C2,Vijayalakshmi,Rabi,2025,0.58,0.448,0.795,0.234,0.301,0.118,0.28,0.276,0.459,0.202,17.56,
AP_ANP_00051_C3,Subba Rao,Rabi,2025,0.58,0.448,0.795,0.234,0.301,0.118,0.28,0.276,0.459,0.202,17.56,
AP_ANP_00051_C1,Nagarjuna Reddy,Summer,2025,0.547,0.624,0.348,0.111,0.047,0.199,0.06,0.652,0.223,0.44,12.82,
AP_ANP_00051_C2,Vijayalakshmi,Summer,2025,0.547,0.624,0.348,0.111,0.047,0.199,0.06,0.652,0.223,0.44,12.82,
AP_ANP_00051_C3,Subba Rao,Summer,2025,0.547,0.624,0.348,0.111,0.047,0.199,0.06,0.652,0.223,0.44,12.82,
AP_ANP_00052_C1,Venkat Ramaiah,Kharif,2025,0.838,0.667,0.75,0.133,0.181,0.285,0.232,0.314,0.301,0.209,2.93,
AP_ANP_00052_C2,Nagarjuna Reddy,Kharif,2025,0.838,0.667,0.75,0.133,0.181,0.285,0.232,0.314,0.301,0.209,2.93,
AP_ANP_00052_C3,Vijayalakshmi,Kharif,2025,0.838,0.667,0.75,0.133,0.181,0.285,0.232,0.314,0.301,0.209,2.93,
AP_ANP_00052_C1,Venkat Ramaiah,Rabi,2025,0.529,0.165,0.238,0.064,0.338,0.261,0.29,0.481,0.206,0.252,8.79,
AP_ANP_00052_C2,Nagarjuna Reddy,Rabi,2025,0.529,0.165,0.238,0.064,0.338,0.261,0.29,0.481,0.206,0.252,8.79,
AP_ANP_00052_C3,Vijayalakshmi,Rabi,2025,0.529,0.165,0.238,0.064,0.338,0.261,0.29,0.481,0.206,0.252,8.79,
AP_ANP_00052_C1,Venkat Ramaiah,Summer,2025,0.242,0.28,0.553,0.078,0.235,0.094,0.028,0.707,0.28,0.073,19.9,
AP_ANP_00052_C2,Nagarjuna Reddy,Summer,2025,0.242,0.28,0.553,0.078,0.235,0.094,0.028,0.707,0.28,0.073,19.9,
AP_ANP_00052_C3,Vijayalakshmi,Summer,2025,0.242,0.28,0.553,0.078,0.235,0.094,0.028,0.707,0.28,0.073,19.9,
AP_ANP_00053_C1,Gopal Reddy,Kharif,2025,0.57,0.74,0.305,0.274,0.067,0.081,0.098,0.266,0.396,0.075,10.19,
AP_ANP_00053_C2,Venkat Ramaiah,Kharif,2025,0.57,0.74,0.305,0.274,0.067,0.081,0.098,0.266,0.396,0.075,10.19,
AP_ANP_00053_C3,Nagarjuna Reddy,Kharif,2025,0.57,0.74,0.305,0.274,0.067,0.081,0.098,0.266,0.396,0.075,10.19,
AP_ANP_00053_C1,Gopal Reddy,Rabi,2025,0.749,0.519,0.349,0.213,0.226,0.251,0.134,0.285,0.493,0.23,3.89,
AP_ANP_00053_C2,Venkat Ramaiah,Rabi,2025,0.749,0.519,0.349,0.213,0.226,0.251,0.134,0.285,0.493,0.23,3.89,
AP_ANP_00053_C3,Nagarjuna Reddy,Rabi,2025,0.749,0.519,0.349,0.213,0.226,0.251,0.134,0.285,0.493,0.23,3.89,
AP_ANP_00053_C1,Gopal Reddy,Summer,2025,0.347,0.647,0.627,0.033,0.274,0.035,0.131,0.513,0.06,0.154,15.21,
AP_ANP_00053_C2,Venkat Ramaiah,Summer,2025,0.347,0.647,0.627,0.033,0.274,0.035,0.131,0.513,0.06,0.154,15.21,
AP_ANP_00053_C3,Nagarjuna Reddy,Summer,2025,0.347,0.647,0.627,0.033,0.274,0.035,0.131,0.513,0.06,0.154,15.21,
AP_ANP_00054_C1,Bhavani S,Kharif,2025,0.598,0.279,0.158,0.234,0.1,0.44,0.242,0.824,0.294,0.094,10.96,
AP_ANP_00054_C2,Gopal Reddy,Kharif,2025,0.598,0.279,0.158,0.234,0.1,0.44,0.242,0.824,0.294,0.094,10.96,
AP_ANP_00054_C3,Venkat Ramaiah,Kharif,2025,0.598,0.279,0.158,0.234,0.1,0.44,0.242,0.824,0.294,0.094,10.96,
AP_ANP_00054_C1,Bhavani S,Rabi,2025,0.559,0.209,0.467,0.219,0.07,0.166,0.224,0.509,0.238,0.208,9.19,
AP_ANP_00054_C2,Gopal Reddy,Rabi,2025,0.559,0.209,0.467,0.219,0.07,0.166,0.224,0.509,0.238,0.208,9.19,
AP_ANP_00054_C3,Venkat Ramaiah,Rabi,2025,0.559,0.209,0.467,0.219,0.07,0.166,0.224,0.509,0.238,0.208,9.19,
AP_ANP_00054_C1,Bhavani S,Summer,2025,0.514,0.723,0.661,0.128,0.124,0.319,0.137,0.366,0.47,0.065,18.04,
AP_ANP_00054_C2,Gopal Reddy,Summer,2025,0.514,0.723,0.661,0.128,0.124,0.319,0.137,0.366,0.47,0.065,18.04,
AP_ANP_00054_C3,Venkat Ramaiah,Summer,2025,0.514,0.723,0.661,0.128,0.124,0.319,0.137,0.366,0.47,0.065,18.04,
AP_ANP_00055_C1,Ravi Teja,Kharif,2025,0.712,0.546,0.732,0.259,0.23,0.288,0.029,0.537,0.125,0.345,10.24,
AP_ANP_00055_C2,Bhavani S,Kharif,2025,0.712,0.546,0.732,0.259,0.23,0.288,0.029,0.537,0.125,0.345,10.24,
AP_ANP_00055_C3,Gopal Reddy,Kharif,2025,0.712,0.546,0.732,0.259,0.23,0.288,0.029,0.537,0.125,0.345,10.24,
